Publisher,NA,EU,JP
10TACLE Studios,0,1,0
1C Company,0,0,0
2D Boy,1,0,0
3DO,1,0,0
505 Games,0,1,0
5pb,0,0,1
Acclaim Entertainment,1,0,0
Ackkstudios,1,0,0
Acquire,0,0,1
Activision,1,0,0
Activision Blizzard,1,0,0
Activision Value,1,0,0
Agatsuma Entertainment,0,0,1
Agetec,1,0,0
Aksys Games,1,0,0
Alternative Software,0,1,0
AQ Interactive,0,0,1
Aqua Plus,0,0,1
Arc System Works,0,0,1
Ascaron Entertainment GmbH,0,1,0
ASCII Entertainment,0,0,1
Aspyr,1,0,0
Atari,0,1,0
Atlus,0,0,1
Avalon Interactive,0,1,0
Avanquest,0,1,0
BAM! Entertainment,1,0,0
Banpresto,0,0,1
Bethesda Softworks,1,0,0
Bigben Interactive,0,1,0
bitComposer Games,0,1,0
Black Bean Games,0,0,1
Black Label Games,1,0,0
Blue Byte,0,1,0
Bohemia Interactive,0,1,0
Brash Entertainment,1,0,0
Capcom,0,0,1
Cave,0,0,1
CCP,0,0,0
CDV Software Entertainment,0,1,0
City Interactive,0,1,0
Cloud Imperium Games Corporation,1,0,0
Codemasters,0,1,0
Codemasters Online,0,1,0
Compile Heart,0,0,1
Conspiracy Entertainment,1,0,0
Crave Entertainment,1,0,0
Crimson Cow,0,1,0
D3Publisher,0,0,1
Deep Silver,0,1,0
"Destination Software, Inc",1,0,0
Destineer,1,0,0
Devolver Digital,1,0,0
DHM Interactive,0,1,0
Disney Interactive Studios,1,0,0
DreamCatcher Interactive,1,0,0
DSI Games,1,0,0
DTP Entertainment,0,1,0
Dusenberry Martin Racing,1,0,0
EA Games,1,0,0
Eidos Interactive,0,1,0
Electronic Arts,1,0,0
Empire Interactive,0,1,0
Encore,1,0,0
Enix Corporation,0,0,1
Enterbrain,0,0,1
ESP,0,0,1
Evolved Games,1,0,0
Falcom Corporation,0, ,1
Flashpoint Games,0,1,0
Focus Home Interactive,0,1,0
Fox Interactive,1,0,0
From Software,0,0,1
Funbox Media,0,1,0
Funcom,0,1,0
Funsta,0,1,0
FuRyu,0,0,1
FuRyu Corporation,0,0,1
Game Factory,0,1,0
Gamebridge,0,1,0
Gamecock,1,0,0
Gathering of Developers,1,0,0
Gearbox Software,1,0,0
Genki,0,0,1
Ghostlight,0,1,0
Global A Entertainment,0,0,1
Global Star,1,0,0
GOA,0,1,0
Gotham Games,1,0,0
Graffiti,1,0,0
Graphsim Entertainment,1,0,0
Groove Games,1,0,0
GT Interactive,1,0,0
GungHo,0,0,1
Gust,0,0,1
Harmonix Music Systems,1,0,0
Hasbro Interactive,1,0,0
Havas Interactive,1,0,0
Hello Games,0,1,0
Hip Interactive,1,0,0
HMH Interactive,0,1,0
Home Entertainment Suppliers,0,0,0
Hudson Entertainment,0,0,1
Hudson Soft,0,0,1
Human Entertainment,0,0,1
Iceberg Interactive,0,1,0
id Software,1,0,0
Idea Factory,0,0,1
Idea Factory International,0,0,1
Ignition Entertainment,0,1,0
Illusion Softworks,0,1,0
Indie Games,0,0,0
Infogrames,0,1,0
Insomniac Games,1,0,0
Interplay,1,0,0
Introversion Software,0,1,0
inXile Entertainment,1,0,0
Irem Software Engineering,0,0,1
Jaleco,0,0,1
Jester Interactive,0,1,0
JoWood Productions,0,1,0
Just Flight,0,1,0
Kadokawa Shoten,0,0,1
Kaga Create,0,0,1
Kalypso Media,0,1,0
Kemco,0,0,1
Koch Media,0,1,0
Konami Digital Entertainment,0,0,1
Kool Kizz,0,0,1
Level 5,0,0,1
Lexicon Entertainment,0,1,0
Lighthouse Interactive,0,1,0
Little Orbit,1,0,0
LucasArts,1,0,0
Mad Catz,0,0,0
Majesco Entertainment,1,0,0
Marvelous Entertainment,0,0,1
Marvelous Interactive,0,0,1
Mastertronic,0,1,0
Mastiff,1,0,0
Max Five,1,0,0
Maxis,1,0,0
MC2 Entertainment,0,1,0
Media Rings,0,0,1
Mercury Games,0,1,0
Metro 3D,1,0,0
Microids,0,1,0
Microsoft Game Studios,1,0,0
Midas Interactive Entertainment,1,0,0
Midway Games,1,0,0
Milestone S.r.l,0,1,0
Milestone S.r.l.,0,1,0
Mindscape,0,1,0
Monte Christo Multimedia,0,1,0
Moss,1,0,0
MTV Games,1,0,0
Myelin Media,1,0,0
Namco Bandai Games,0,0,1
Natsume,0,0,1
Navarre Corp,1,0,0
NCSoft,0,0,0
NDA Productions,1,0,0
NewKidCo,1,0,0
Nihon Falcom Corporation,0,0,1
Nintendo,0,0,1
Nippon Ichi Software,0,0,1
Nobilis,0,1,0
Nordic Games,0,1,0
NovaLogic,1,0,0
Number None,1,0,0
O3 Entertainment,1,0,0
O-Games,0,0,0
Oxygen Interactive,0,1,0
Pacific Century Cyber Works,0,0,1
Paradox Interactive,0,1,0
Phantagram,0,0,0
Phantom EFX,1,0,0
Pinnacle,1,0,0
Play It,0,1,0
Playlogic Game Factory,0,1,0
PM Studios,1,0,0
PopCap Games,1,0,0
Popcorn Arcade,0,1,0
PQube,0,1,0
Psygnosis,0,1,0
Rage Software,0,1,0
Rebellion,0,1,0
Rebellion Developments,0,1,0
RedOctane,1,0,0
Reef Entertainment,0,1,0
Revolution Software,0,1,0
Rising Star Games,0,1,0
Rondomedia,0,1,0
RTL,0,1,0
Russel,1,0,0
Sammy Corporation,0,0,1
Scholastic Inc.,1,0,0
SCi,0,1,0
Screenlife,0,1,0
Sega,0,0,1
Slightly Mad Studios,0,1,0
SNK,0,0,1
Sold Out,0,1,0
Sony Computer Entertainment,0,0,1
Sony Computer Entertainment America,1,0,0
Sony Computer Entertainment Europe,0,1,0
Sony Online Entertainment,1,0,0
Sony Oznline Entertainment,1,0,0
SouthPeak Games,1,0,0
Spike,0,0,1
Square,0,0,1
Square EA,1,0,0
Square Enix,0,0,1
Square Enix ,0,0,1
SquareSoft,0,0,1
Stainless Games,0,1,0
Sting,0,0,1
Strategy First,1,0,0
Success,0,0,1
Sunflowers,0,1,0
Sunsoft,0,0,1
Swing! Entertainment,0,1,0
System 3,0,1,0
System 3 Arcade Software,0,1,0
Taito,0,0,1
Takara Tomy,0,0,1
